Metering Point ID;Timestamp;Value;Unit of Measure;Property;Reading status;Consumption From;Consumption To;Consumption Value;Calculated Value;Calculated Normalized Value;Calculated Deviation Type;Calculated Deviation Level;Temperature;calculate_consuming_values;validate_simple_status;validate_advanced_status
"TDS9";"2017-01-02T00:00:00Z";2486.45;"MWh";"energy";"measured";"2017-01-01T00:00:00Z";"2017-01-02T00:00:00Z";3.569999999999709;3.6256525123363676;0.01534965420632554;"smaller";"ok";-1.1499921419;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS9";"2017-01-03T00:00:00Z";2490.36;"MWh";"energy";"measured";"2017-01-02T00:00:00Z";"2017-01-03T00:00:00Z";3.9100000000003092;3.8616947134581188;0.012508830999468997;"larger";"ok";-3.2581173778;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS9";"2017-01-04T00:00:00Z";2494.57;"MWh";"energy";"measured";"2017-01-03T00:00:00Z";"2017-01-04T00:00:00Z";4.210000000000036;3.993469006860603;0.05422127798348824;"larger";"critical";-4.4350116452;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS9";"2017-01-05T00:00:00Z";2498.75;"MWh";"energy";"measured";"2017-01-04T00:00:00Z";"2017-01-05T00:00:00Z";4.179999999999836;4.094657358885975;0.020842437750903865;"larger";"ok";-5.3387386799;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS9";"2017-01-06T00:00:00Z";2503.33;"MWh";"energy";"measured";"2017-01-05T00:00:00Z";"2017-01-06T00:00:00Z";4.579999999999927;4.421490936742675;0.035849686344495015;"larger";"critical";-8.2577341398;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS9";"2017-01-07T00:00:00Z";2507.54;"MWh";"energy";"measured";"2017-01-06T00:00:00Z";"2017-01-07T00:00:00Z";4.210000000000036;4.231922583387414;0.0051802893260466335;"smaller";"ok";-6.5646732052;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS9";"2017-01-08T00:00:00Z";2511.45;"MWh";"energy";"measured";"2017-01-07T00:00:00Z";"2017-01-08T00:00:00Z";3.9099999999998545;3.8492265609367458;0.015788480646958574;"larger";"ok";-3.1467625995;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS9";"2017-01-09T00:00:00Z";2515.23;"MWh";"energy";"measured";"2017-01-08T00:00:00Z";"2017-01-09T00:00:00Z";3.7800000000002;3.7538720600103397;0.006960263848147355;"larger";"ok";-2.2951384882;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS9";"2017-01-10T00:00:00Z";2518.56;"MWh";"energy";"measured";"2017-01-09T00:00:00Z";"2017-01-10T00:00:00Z";3.3299999999999272;3.295655930396164;0.010421011880216118;"larger";"ok";1.7972525408;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS9";"2017-01-11T00:00:00Z";2521.91;"MWh";"energy";"measured";"2017-01-10T00:00:00Z";"2017-01-11T00:00:00Z";3.349999999999909;3.310450704780015;0.01194680082769033;"larger";"ok";1.6651183839;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS9";"2017-01-12T00:00:00Z";2525.1;"MWh";"energy";"measured";"2017-01-11T00:00:00Z";"2017-01-12T00:00:00Z";3.1900000000000546;3.3507843705178795;0.047984099464142754;"smaller";"critical";1.3048928895;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS9";"2017-01-13T00:00:00Z";2528.99;"MWh";"energy";"measured";"2017-01-12T00:00:00Z";"2017-01-13T00:00:00Z";3.8899999999998727;3.852720641388258;0.009676112566049305;"larger";"ok";-3.1779687107;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS9";"2017-01-14T00:00:00Z";2533.32;"MWh";"energy";"measured";"2017-01-13T00:00:00Z";"2017-01-14T00:00:00Z";4.330000000000382;4.261744494496002;0.016015860545495298;"larger";"ok";-6.8310167789;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS9";"2017-01-15T00:00:00Z";2537.92;"MWh";"energy";"measured";"2017-01-14T00:00:00Z";"2017-01-15T00:00:00Z";4.599999999999909;4.5503546313601175;0.010910219677746818;"larger";"ok";-9.4086334507;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS9";"2017-01-16T00:00:00Z";2542.35;"MWh";"energy";"measured";"2017-01-15T00:00:00Z";"2017-01-16T00:00:00Z";4.429999999999836;4.33343062168567;0.02228474083118045;"larger";"ok";-7.4712554018;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS9";"2017-01-17T00:00:00Z";2547.14;"MWh";"energy";"measured";"2017-01-16T00:00:00Z";"2017-01-17T00:00:00Z";4.789999999999964;4.795659126476902;0.0011800518610037695;"smaller";"ok";-11.5994815032;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS9";"2017-01-18T00:00:00Z";2550.97;"MWh";"energy";"measured";"2017-01-17T00:00:00Z";"2017-01-18T00:00:00Z";3.8299999999999272;3.74309964126852;0.023216148929969996;"larger";"ok";-2.1989285406;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS9";"2017-01-19T00:00:00Z";2554.79;"MWh";"energy";"measured";"2017-01-18T00:00:00Z";"2017-01-19T00:00:00Z";3.8200000000001637;3.738001166225291;0.021936545797730928;"larger";"ok";-2.1533933615;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS9";"2017-01-20T00:00:00Z";2559.18;"MWh";"energy";"measured";"2017-01-19T00:00:00Z";"2017-01-20T00:00:00Z";4.389999999999873;4.380978957638877;0.002059138482111588;"larger";"ok";-7.8959161043;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS9";"2017-01-21T00:00:00Z";2563.64;"MWh";"energy";"measured";"2017-01-20T00:00:00Z";"2017-01-21T00:00:00Z";4.460000000000036;4.540507347839087;0.017730914559000933;"smaller";"ok";-9.3206860125;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS9";"2017-01-22T00:00:00Z";2567.36;"MWh";"energy";"measured";"2017-01-21T00:00:00Z";"2017-01-22T00:00:00Z";3.7200000000002547;3.740836935165035;0.005570126558820745;"smaller";"ok";-2.1787200024;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS9";"2017-01-23T00:00:00Z";2571.2;"MWh";"energy";"measured";"2017-01-22T00:00:00Z";"2017-01-23T00:00:00Z";3.8399999999996908;3.679980708256215;0.04348373114686843;"larger";"critical";-1.6352047026;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS9";"2017-01-24T00:00:00Z";2574.54;"MWh";"energy";"measured";"2017-01-23T00:00:00Z";"2017-01-24T00:00:00Z";3.3400000000001455;3.258966063329335;0.024864921909627597;"larger";"ok";2.075360621;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS9";"2017-01-25T00:00:00Z";2577.6;"MWh";"energy";"measured";"2017-01-24T00:00:00Z";"2017-01-25T00:00:00Z";3.0599999999999454;3.004994914266439;0.018304552021823968;"larger";"ok";3.4435691138;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS9";"2017-01-26T00:00:00Z";2580.45;"MWh";"energy";"measured";"2017-01-25T00:00:00Z";"2017-01-26T00:00:00Z";2.849999999999909;2.7454588133499387;0.038077856473982895;"larger";"ok";4.8417574465;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS9";"2017-01-27T00:00:00Z";2583.04;"MWh";"energy";"measured";"2017-01-26T00:00:00Z";"2017-01-27T00:00:00Z";2.5900000000001455;2.4987575934396045;0.03651510926874004;"larger";"ok";6.1708009442;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS9";"2017-01-28T00:00:00Z";2586.04;"MWh";"energy";"measured";"2017-01-27T00:00:00Z";"2017-01-28T00:00:00Z";3;2.725380452575956;0.10076374737496954;"larger";"ok";4.9499247869;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS9";"2017-01-29T00:00:00Z";2588.82;"MWh";"energy";"measured";"2017-01-28T00:00:00Z";"2017-01-29T00:00:00Z";2.7800000000002;2.5949330927340544;0.07131856608725001;"larger";"ok";5.6526785692;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS9";"2017-01-30T00:00:00Z";2591.93;"MWh";"energy";"measured";"2017-01-29T00:00:00Z";"2017-01-30T00:00:00Z";3.1099999999996726;2.878513467703124;0.08041877687696226;"larger";"ok";4.124957492;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS9";"2017-01-31T00:00:00Z";2595.03;"MWh";"energy";"measured";"2017-01-30T00:00:00Z";"2017-01-31T00:00:00Z";3.100000000000364;2.9814485294812645;0.039763044488890044;"larger";"ok";3.5704195996;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS9";"2017-02-01T00:00:00Z";2598.23;"MWh";"energy";"measured";"2017-01-31T00:00:00Z";"2017-02-01T00:00:00Z";3.199999999999818;3.0049563479232186;0.0649073162781209;"larger";"ok";3.4437768807;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS9";"2017-02-02T00:00:00Z";2601.25;"MWh";"energy";"measured";"2017-02-01T00:00:00Z";"2017-02-02T00:00:00Z";3.019999999999982;2.6557377996088314;0.13716045328149612;"larger";"critical";5.3251078327;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS9";"2017-02-03T00:00:00Z";2604.47;"MWh";"energy";"measured";"2017-02-02T00:00:00Z";"2017-02-03T00:00:00Z";3.2199999999998;3.0508320423433752;0.05544977740776744;"larger";"ok";3.1966326088;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS9";"2017-02-04T00:00:00Z";2607.85;"MWh";"energy";"measured";"2017-02-03T00:00:00Z";"2017-02-04T00:00:00Z";3.380000000000109;3.274682464284416;0.032161144435940606;"larger";"ok";1.98456944;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS9";"2017-02-05T00:00:00Z";2611.16;"MWh";"energy";"measured";"2017-02-04T00:00:00Z";"2017-02-05T00:00:00Z";3.3099999999999454;3.342106663222193;0.00960671410507672;"smaller";"ok";1.3823946822;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS9";"2017-02-06T00:00:00Z";2613.84;"MWh";"energy";"measured";"2017-02-05T00:00:00Z";"2017-02-06T00:00:00Z";2.680000000000291;2.5314430256083056;0.05868469994748834;"larger";"ok";5.9947160383;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS9";"2017-02-07T00:00:00Z";2616.7;"MWh";"energy";"measured";"2017-02-06T00:00:00Z";"2017-02-07T00:00:00Z";2.8599999999996726;2.38828667095458;0.1975111843908389;"larger";"critical";6.765936474;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS9";"2017-02-08T00:00:00Z";2619.6;"MWh";"energy";"measured";"2017-02-07T00:00:00Z";"2017-02-08T00:00:00Z";2.900000000000091;2.6523222558240875;0.09338146736586837;"larger";"ok";5.3435082535;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS9";"2017-02-09T00:00:00Z";2622.46;"MWh";"energy";"measured";"2017-02-08T00:00:00Z";"2017-02-09T00:00:00Z";2.8600000000001273;2.691156646683867;0.06274006885638374;"larger";"ok";5.1342973113;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS9";"2017-02-10T00:00:00Z";2625.49;"MWh";"energy";"measured";"2017-02-09T00:00:00Z";"2017-02-10T00:00:00Z";3.0299999999997453;3.087844816433488;0.01873307108112847;"smaller";"ok";2.9972351889;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS9";"2017-02-11T00:00:00Z";2628.63;"MWh";"energy";"measured";"2017-02-10T00:00:00Z";"2017-02-11T00:00:00Z";3.1400000000003274;3.320358543916756;0.05431899643695531;"smaller";"critical";1.5766301152;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS9";"2017-02-12T00:00:00Z";2632.43;"MWh";"energy";"measured";"2017-02-11T00:00:00Z";"2017-02-12T00:00:00Z";3.799999999999727;3.7180348305718964;0.02204529359269695;"larger";"ok";-1.9750712824;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
